"","X","p","q","P","Q","aic"
"16",16,2,3,1,1,-28.3985172812718
"15",15,2,1,0,1,-18.3503518855546
"14",14,1,2,3,3,-18.2747901672897
"13",13,1,2,0,1,-18.0194770429721
"12",12,1,1,3,3,-14.6029283197186
"11",11,1,1,0,1,-12.6963699409093
"10",10,0,3,2,3,-4.16042422989767
"9",9,0,3,0,1,-2.76608121685831
"8",8,0,2,2,3,0.697895045449059
"7",7,0,2,0,1,1.64030120441066
"6",6,0,1,3,3,30.3125816623765
"5",5,0,1,0,1,32.7079698601551
"4",4,0,0,2,3,42.5991175761878
"3",3,0,0,0,1,47.1262265113846
"2",2,0,0,0,0,427.226228523084
"1",1,0,0,0,0,10000
