"","X","p","q","P","Q","aic"
"17",17,4,3,0,1,-37.6658228099307
"16",16,3,1,0,1,-36.0606267543851
"15",15,2,3,2,3,-35.6198901616733
"14",14,2,2,3,3,-35.6143092170194
"13",13,2,2,0,1,-35.5621271902603
"12",12,2,1,3,3,-34.076834570453
"11",11,2,1,0,1,-32.641143034313
"10",10,1,3,2,3,-11.3537447675687
"9",9,1,3,0,1,-9.27626436800142
"8",8,1,2,2,3,-4.64050066978484
"7",7,1,2,0,1,-3.78617446123576
"6",6,1,1,3,3,28.0932309908519
"5",5,1,1,0,1,29.2585514146533
"4",4,1,0,2,3,40.2385148744136
"3",3,1,0,0,1,44.8899423849059
"2",2,1,0,0,0,418.189657663757
"1",1,0,0,0,0,10000
